Molecule Name,SMILES,TB SRI Kinase Phenotypic Screen SP: % Inhibition @10ug/ml (%)
SRI-795-02,[H]N(C1=CC=C(F)C=C1)C1=NC=NC2=C1N=CN2[H],16.77
AB00692698-01,OC1=CC=C(NC2=NC3=CC=CC=C3C(NCC3=CC=CC=C3)=N2)C=C1,99.86
AB00692697-01,NC(=N)N\N=C1/C(=O)NC2=CC=C(Br)C=C12,9
AB00692696-01,COC(=O)C1=CC=C(OCC(O)CN2CCN(CC2)C2=CC=CC(=C2)C(F)(F)F)C=C1,97.18
AB00692695-01,CC1=C(Cl)C=CC(OCC(=O)OCCNC(=O)C2=CC=NC=C2)=C1,-0.4
AB00692694-01,CC1=CC(OCC(=O)OCCNC(=O)C2=CN=CC=C2)=CC(C)=C1Cl,-1.36
AB00692693-01,CC1=C(C=C(Cl)C=C1)N1CCN(CC(O)COC2=CC=CC=C2[N+]([O-])=O)CC1,97.71
AB00692692-01,CCN(CC)CCNC(=O)C1=CC2=CC(=CC=C2OC1=O)[N+]([O-])=O,-2.42
AB00692691-01,CCOC(=O)N1CCN(CC(O)COC2=CC=C(C=C2)[N+]([O-])=O)CC1,16.9
AB00692690-01,CC(C)N1CCC2=C(C1)SC(NC(=O)C1=CC3=C(C=C1)N=CS3)=C2C(N)=O,5.7
AB00692689-01,CN1CCC2=C(C1)SC(NC(=O)COC1=CC=C(Cl)C=C1Cl)=C2C(N)=O,3.64
AB00692688-01,CC(C)N1CCC2=C(C1)SC(NC(=O)C1=CC=C(S1)[N+]([O-])=O)=C2C(N)=O,98.98
AB00692687-01,CC(C)N1CCC2=C(C1)SC(NC(=O)C1=CC(Cl)=CC=C1Cl)=C2C(N)=O,16.3
AB00692686-01,O=C(CC1=CC=CC=C1)NC1=C(C#N)C2=C(CN(CC3=CC=CC=C3)CC2)S1,14.06
AB00692685-01,O=C(CNC1=NCCC1)C1=CC=C(C=C1)C1=CC=CC=C1,92.72
AB00692684-01,CCN1CCC2=C(C1)SC(NC(=O)C1=CC3=C(S1)C=CC(=C3)[N+]([O-])=O)=C2C(N)=O,5.08
AB00692683-01,CCOC(=O)C1=C(NC2=CC(=CC=C2)C(O)=O)C2=CC(OC3=CC=CC=C3)=CC=C2N=C1,2.03
AB00692682-01,CC1=C(C2=C(S1)N=CN=C2NC1=CC=C(O)C=C1)C1=CC=CC=C1,8.69
AB00692681-01,COC(=O)C1=CC(NC2=NC=NC3=C2C(=C(C)S3)C2=CC=CC=C2)=CC=C1,1.29
AB00692680-01,COC1=CC=CC(NC2=NC=NC3=C2C(=C(C)S3)C2=CC=CC=C2)=C1,31.41
AB00692679-01,OC1=CC=C(NC2=NC=NC3=C2C(=CS3)C2=CC=C(Cl)C=C2)C=C1,1.09
AB00692678-01,NC1=C(C#N)C2=C(N=C3C=CC=CC3=N2)N1CCC1=CC=CC=C1,37.44
AB00692677-01,COC1=CC=C(NC2=NC=NC3=C2OC2=CC=CC=C32)C(OC)=C1,-4.4
AB00692676-01,CC1=CC2=C(S1)N=CN=C2NC1=CC=CC=C1O,18.82
AB00692675-01,CC1=C(C)C2=C(N=CN=C2NC2=CC=C(C)C=C2)N1CC1=CC=CO1,9.03
AB00692674-01,C(NC1=NC=NC2=C1OC1=CC=CC=C21)C1=CN=CC=C1,-5.29
AB00692673-01,CC1=CC2=C(C=C1)N(CC(O)CN1C=CN=C1)C1=C2CCCC1=O,34.49
AB00692672-01,CCN1C(C)=CC(C2NCCC3=CC(O)=C(O)C=C23)=C1C,-6.7
AB00692671-01,O=C1CSC2=NCCCN12,-8.31
AB00692670-01,OC1=CC2=C(C=C1O)C(NCC2)C1=CC=CN=C1,-2.99
AB00692669-01,COC1=CC=C(C=C1OC)C1NCCC2=CC(O)=C(O)C=C12,-1.37
AB00692668-01,CCOC(=O)C1=CC=CC(NC2=CC(C)=NC3=C(C)C=CC=C23)=C1,74.86
AB00692667-01,ClC1=CC=C(C=C1)C(=O)NC1=C(N2N=C(CC3=CC=CC=C3)C(=O)N=C2S1)C1=CC=CS1,-2.22
AB00692666-01,OC(=O)C1=CC(NC2=NC=NC3=C2C=C(S3)C2=CC=CC=C2)=CC=C1,8.64
AB00692665-01,CC1=NC2=CC=C(C=C2C(NC2=CC=C(Cl)C=C2C)=C1)C(O)=O,-12.94
AB00692664-01,CCC1=CC=CC=C1NC1=CC(C)=NC2=CC=C(C=C12)C(O)=O,-7.71
AB00692663-01,OC1=C(NC2=NC=NC3=CC=C(C=C23)[N+]([O-])=O)C=C(Cl)C=C1,50.09
AB00692662-01,OC1=C(NC2=NC=NC3=CC=CC=C23)C=C(Cl)C=C1,6.62
AB00692661-01,CC1=CC(NC2=NC=NC3=CC=C(Br)C=C23)=C(O)C=C1,18.65
AB00692660-01,CC1CCC2=C(C1)SC1=C2C(NC2=CC(O)=CC=C2)=NC=N1,7.95
AB00692659-01,CC1=CC=C(C=C1)C1=CSC2=C1C(NC1=CC=C(O)C=C1)=NC=N2,1.44
AB00692658-01,COC1=CC=CC(NC2=NC=NC3=C2C(=CS3)C2=CC=CC=C2)=C1,76.37
AB00692657-01,OC(=O)C1=CC=CC(NC2=NC=NC3=C2C(=CS3)C2=CC=CC=C2)=C1,-0.25
AB00692656-01,CC1=CC=C(C=C1)C1=CSC2=C1C(NC1=CC(=CC=C1)C(O)=O)=NC=N2,1.87
AB00692655-01,COC(=O)C1=CC=C2N=C(C)C=C(NC3=CC=CC(=C3)C(O)=O)C2=C1,-5.47
AB00692654-01,CCOC(=O)C1=C(NC2=CC=CC(=C2)C(O)=O)C2=CC(OCC)=CC=C2N=C1,-7.39
AB00692653-01,OC1=CC=C(NC2=NC(=NC3=CC=CC=C23)C2=CC=CN=C2)C=C1,7.09
AB00692652-01,OC1=C(NC2=NC(=NC3=CC=CC=C23)C2=CC=CN=C2)C=CC=C1,5.48
AB00692651-01,COC1=C2N=C(C)C=C(NC3=CC=CC(=C3)[N+]([O-])=O)C2=CC=C1,6.14
AB00692650-01,CCOC(=O)C1=C(NCC2=CN=CC=C2)C2=CC=C(Cl)C(C)=C2N=C1,-1.84
AB00692649-01,OCC(NC1=NC=NC2=CC=C(Br)C=C12)C(O)=O,-0.99
AB00692648-01,CC(N)C(=O)OC1=CC2=C(C=C1)C(=O)C(=CO2)C1=NOC=C1,19.64
AB00692646-01,O=S1(=O)CCC(C1)NCC1=CC=CN=C1,-0.36
AB00692645-01,CC(=O)C1=CC(NC2=NC(=NC3=CC=CC=C23)C2=CC=CC=C2)=CC=C1,6.27
AB00692644-01,[O-][N+](=O)C1=CC(NC2=NC(=NC3=CC=CC=C23)C2=CC=CC=C2)=CC=C1,0.33
AB00692642-01,O=C(CN1CCCC1)C12CC3CC(C1)CC(C3)(C2)C1=CC=CC=C1,-12.14
