mol,Cmpd Name,AUC,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1cccc2,JSF-3131,15052,42.364346,0,0,2,3,2,0,14,0,32,2,4,24,13,66.332504,2.0728908,0,0,14,1,0,8,0,3,5,0,1,1.4495153,-2.2590654,-0.59291029,0.6886996,2.3271172,-2.6375432,-0.47846752,0.79625356,2.4106634,-1.9327569,-0.4183673,0.91561437,2.610827,16.533655,4,0.15384616,15,34,3,26,1,6,0.23076923,16,0,17.26722,13.311195,7.4641018,8.8614426,11.469234,7.6849771,3.7380338,5.2996597,0,0,0.99260354,13,0,-0.85073054,-0.48499954,0.13222258,2.3088198,-1.2870461,-0.30435988,0.24462019,2.4288471,-0.49473494,-0.20906155,0.335197,2.6246819,7.1780376,9.269063,2.3706582,4.0857739,4.0857739,-5.7160316,0,10.862802,8.9039459,0,14,14,1,0,18.781065,8.1314831,4.2332363,14.587337,6.2414279,3.2216649,3.7935758,8,2,1,0,2.9319999,-6.8241,8.7586756,1,1,15,1,3,4,0,0,0,1.8752714,-1.8752714,0.24164551,0.1901675,4.1846013,20.328241,15.808495,19.760618,0,12.949531,34.357582,69.470551,43.187588,9.4210396,0,0,29.637598,33.931049,0.6216321,0.63353056,0.21693052,0.37836793,0.36646944,0.16143739,182.16113,185.64783,63.568645,110.87576,107.38907,47.307114,0.46153846,0.85714287,0,0,0,0,1,0,0,0,1,0,293.0369,0,0,0,293.0369,0,7,1,3,0,0,0.45833334,3.1307001,35.776459,17.603184,0,50.935009,54.531654,9.5073462,3.5006065,109.17786,0,75.446327,8.7129803,64.317398,0,86.711464,10.307829,8.3387489,105.85911,10.517568,70.426331,117.16,0.43739632,5.7004399,3.5252445,8.8451757,293.0369,360.35434,27.133842,0,0,18.842079,163.31906,83.74192,45.975922,365.75299,1489,36,126
Clc1c2c([nH]c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)c2)cc(Cl)c1,JSF-3266,33043,42.744343,0,0,2,3,2,0,14,0,33,3,5,25,13,67.552399,2.0470424,0,0,14,2,0,8,0,4,5,0,0,1.4351281,-2.2627709,-0.60349137,0.67062956,2.3320923,-2.6415322,-0.52011007,0.88123995,2.3950405,-1.9427263,-0.41736674,0.94507712,2.6053629,15.333656,4,0.14814815,15,35,3,27,1,6,0.22222222,17,0,18.137465,13.642993,7.3867512,8.7316866,11.846245,7.4318795,3.6427345,5.0993195,0,0,1.0157115,14,0,-0.85161573,-0.49769774,0.14211138,2.3529305,-1.2870992,-0.31248885,0.27918759,2.4358296,-0.49473557,-0.20547296,0.3805055,2.6474547,7.3440924,12.021235,2.3566885,3.7655816,3.7655816,-5.467114,0,11.103642,9.021616,0,14,14,1,0,19.753086,8.3471403,4.6464,15.069528,6.2909436,3.4699426,3.792062,9,3,1,0,2.8380001,-6.3478599,8.7660236,1,1,15,1,3,4,1,0,0,2.1201153,-2.1201153,0.21373883,0.1682058,49.634022,31.547539,22.508045,0,0,0,47.307114,4.0280342,68.58493,9.4210396,0,5.6825762,29.637598,33.931049,0.61440521,0.50047719,0.2290948,0.38559476,0.49952278,0.15649995,185.72362,151.28523,69.251221,116.55833,150.99672,47.307114,0.5,1,0,0,0,0,1,0,0,0,1,0,302.28195,0,0,0,302.28195,0,7,1,3,0,0,0.12,3.0506999,35.776459,17.603184,16.78553,50.935009,55.93,9.5073462,7.0012131,92.933022,0,83.317284,8.8613501,64.317398,0,103.49699,15.206781,9.7370949,88.215919,10.517568,78.297287,132.95,0.42433795,5.7548876,3.6042774,8.9586229,302.28195,369.28101,27.133842,0,0,24.524654,166.88153,83.74192,51.658497,383.147,1693,37,132
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1ccc(OC)c2,JSF-3263,2592,46.25993,0,0,2,3,3,0,14,0,36,2,5,26,14,74.029999,2.0563889,0,0,15,1,0,10,0,3,6,0,1,1.459236,-2.2592084,-0.58050638,0.64090729,2.3277378,-2.6375432,-0.49719968,0.72236055,2.4420359,-1.9518254,-0.37956023,0.84996569,2.6176071,20.63607,5,0.17857143,15,38,3,28,1,7,0.25,20,0,18.84457,14.642093,8.3867512,9.7316866,12.401086,8.2080336,3.6487174,5.1161566,0,0,0.9901315,15,0,-0.85073161,-0.47733921,0.11524948,2.3538716,-1.2870464,-0.3342728,0.21765895,2.491539,-0.49473548,-0.20434673,0.29725149,2.6708832,8.1633511,10.5798,3.6970563,3.9662261,3.9662261,-5.7653136,0,11.043843,9.5627365,0,14,14,1,0,20.727041,9,4.716269,16.436451,7.0664134,3.6767664,4.4671826,9,2,1,0,2.925,-6.8744798,9.4051743,1,1,15,1,3,5,1,0,0,2.1876166,-2.1876166,0.20714368,0.16301562,51.610085,28.78676,15.808495,55.419048,0,12.949531,34.357582,6.2365737,43.187588,9.4210396,0,0,29.637598,36.434803,0.6499002,0.38572779,0.20402218,0.35009983,0.61427218,0.14607763,210.46959,124.9176,66.072403,113.37952,198.9315,47.307114,0.46666667,0.875,0,0,0,0,1,0,0,0,1,0,323.84909,0,0,0,323.84909,0,8,1,3,0,0,0.5,3.1393001,46.776344,17.603184,0,50.935009,54.531654,44.891212,3.5006065,91.534676,0,80.689751,9.3681803,64.317398,10.999887,86.711464,15.551257,8.3387489,88.215919,10.517568,105.8102,126.39,0.41210872,5.8073549,3.648828,9.0758514,323.84909,389.54321,29.637598,0,0,18.842079,191.6275,83.74192,48.479675,395.77899,1872,40,136
Clc1c(C(=O)NNC(=O)c2oc([N+](=O)[O-])cc2)sc2c1ccc(Cl)c2,JSF-3269,75175,43.877552,0,0,2,3,2,0,14,0,32,2,4,25,14,68.681015,2.1462817,0,0,14,2,0,7,0,3,5,0,1,1.4586259,-2.2590523,-0.59465766,0.68793339,2.3272748,-2.6375432,-0.46475551,0.86805302,2.4244895,-1.9327525,-0.39651889,0.95021307,2.6132743,15.860449,4,0.14814815,15,34,3,27,1,6,0.22222222,16,0,18.137465,14.367738,7.3867512,8.7316866,11.863081,8.1626072,3.6487174,5.1161566,0,0,1.0365998,14,0,-0.85072595,-0.4849962,0.13263054,2.3117745,-1.287046,-0.29653317,0.28158244,2.444876,-0.49473491,-0.20710945,0.37186903,2.6321375,7.4765882,9.2267866,2.3617597,4.7190213,4.7190213,-6.3519335,0,11.078782,9.3375711,0,14,14,1,0,19.753086,8.3471403,4.4659748,16.473869,6.9056993,3.6725545,4.5505433,8,2,1,0,3.5610001,-7.5583901,9.2101727,1,1,15,1,3,4,0,0,0,1.9441561,-1.9441561,0.23308364,0.18342957,35.80159,24.847988,15.808495,19.760618,0,12.949531,34.357582,22.045069,72.769531,9.4210396,0,0,29.637598,33.931049,0.64386433,0.53899157,0.20418407,0.3561357,0.46100846,0.15195163,200.45433,167.80429,63.568645,110.87576,143.5258,47.307114,0.5,1,0,0,0,0,1,0,0,0,1,0,311.33008,0,0,0,311.33008,0,7,1,3,0,0,0.47999999,3.7841001,35.776459,17.603184,0,50.935009,54.531654,9.5073462,7.0012131,91.534676,0,114.59497,9.2139797,64.317398,0,86.711464,13.808435,8.3387489,88.215919,10.517568,109.57497,117.16,0.42433795,5.7548876,3.5830171,8.9630995,311.33008,379.26114,27.133842,0,0,18.842079,181.61226,83.74192,45.975922,400.198,1668,38,132
Brc1cc2c(Cl)c(C(=O)NNC(=O)c3oc([N+](=O)[O-])cc3)[nH]c2cc1,JSF-3271,2,43.614346,0,0,2,3,2,0,14,0,33,3,5,25,13,69.552399,2.1076484,0,1,14,1,0,8,0,4,5,0,0,1.4593627,-2.2606976,-0.59617525,0.67238569,2.3338766,-2.6410973,-0.51602322,0.85698622,2.3936343,-1.9412192,-0.41010621,0.96661675,2.6112659,16.203655,4,0.14814815,15,35,3,27,1,6,0.22222222,17,0,18.137465,14.473061,7.3867512,8.7316866,11.863081,7.8528962,3.6487174,5.1161566,0,0,1.0973585,14,0,-0.85105836,-0.49736854,0.14100254,2.3540168,-1.2870935,-0.32800946,0.27042338,2.4409683,-0.49473548,-0.21818209,0.36016509,2.6549308,7.4327712,12.148149,2.496635,3.8832533,3.8832533,-5.628387,0,10.956836,9.1972713,0,14,14,1,0,19.753086,8.3471403,4.4659748,15.737246,6.5830288,3.4953997,4.1439495,9,3,1,0,2.9679999,-6.7039599,9.0506973,1,1,15,1,3,4,1,0,0,2.0843496,-2.0843496,0.21740639,0.17109206,51.88623,27.027792,15.808495,6.6995511,0,0,47.307114,47.652882,39.002987,9.4210396,0,5.6825762,29.637598,33.931049,0.62886286,0.52642661,0.22050504,0.37113714,0.47357339,0.1506321,197.49898,165.32812,69.251221,116.55833,148.72919,47.307114,0.5,1,0,0,0,0,1,0,0,0,1,0,314.05731,0,0,0,314.05731,0,7,1,3,0,0,0.47999999,3.1598001,35.776459,17.603184,16.78553,50.935009,55.93,12.56245,3.5006065,92.933022,0,90.122734,9.1303501,64.317398,0,106.5521,11.706175,9.7370949,88.215919,10.517568,85.102737,132.95,0.42433795,5.7548876,3.5828321,8.9629297,314.05731,382.31262,27.133842,0,0,24.524654,178.65691,83.74192,51.658497,427.59799,1667,38,132
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2[nH]c3c(c2)cc(-c2ccccc2)cc3)cc1,JSF-3347,6,52.945103,0,0,2,3,2,0,20,0,43,3,5,29,17,73.97821,1.7204236,0,0,20,0,0,14,0,4,5,0,0,1.2015818,-2.2629285,-0.64847422,0.69811022,2.332094,-2.641535,-0.53807992,0.80591482,2.4275098,-1.9427674,-0.47952649,0.85431087,2.6158583,21.052898,5,0.15625,21,46,3,32,0,7,0.21875,22,0,20.380104,14.839308,10.850853,12.974327,14.00804,8.5420027,5.8867512,8.4158163,0,0,0.86564702,17,0,-0.85181212,-0.48762006,0.13669293,2.4841819,-1.2871002,-0.33150193,0.17669989,2.6030622,-0.49473572,-0.2179217,0.24809669,2.793494,6.7943258,13.570713,3.7124779,4.0737391,4.0737391,-6.166338,0,13.919363,10.637425,0,14,14,1,0,22.203125,10.08,5.4375181,14.429872,6.4405069,3.4307406,3.2046788,9,3,1,0,3.579,-7.3056598,10.340145,1,1,21,1,4,5,1,0,0,1.9558358,-1.9558358,0.2316917,0.18233415,148.90207,22.508045,22.508045,0,0,0,47.307114,51.453518,9.4210396,9.4210396,0,5.6825762,29.637598,33.931049,0.65033895,0.276353,0.20774539,0.34966108,0.723647,0.14191568,216.78827,92.121338,69.251221,116.55833,241.22528,47.307114,0.47058824,0.8888889,0,0,0,0,1,0,0,0,1,0,333.34662,0,0,0,333.34662,0,9,1,4,0,0,0.55172414,3.4109001,35.776459,17.603184,16.78553,50.935009,55.93,9.5073462,0,205.16328,0,5.0199933,10.40295,64.317398,0,103.49699,8.2055683,16.108244,194.07503,10.517568,0,132.95,0.38828552,6,3.8499575,9.3802681,333.34662,434.63788,27.133842,0,0,24.524654,197.9462,83.74192,51.658497,390.35498,2632,43,154
Clc1ccc(Oc2cc3c([nH]c(C(=O)NNC(=O)c4oc([N+](=O)[O-])cc4)c3)cc2)cc1,JSF-3346,12810,55.260307,0,0,2,3,2,0,20,0,44,3,5,31,18,82.160934,1.8672941,0,0,20,1,0,13,0,4,6,0,0,1.1726544,-2.2628715,-0.66146737,0.7002871,2.3320553,-2.641535,-0.58976269,0.83652961,2.4283249,-1.9427668,-0.49223629,0.93746406,2.6052828,22.295691,6,0.17647059,21,47,3,34,1,8,0.23529412,23,0,21.957455,16.3041,10.773502,12.84457,14.885051,9.1778812,5.5474348,7.8989797,0,0,0.92134726,19,0,-0.85178846,-0.4923836,0.12001693,2.4535847,-1.2871001,-0.34807485,0.23551293,2.575954,-0.49473572,-0.21962477,0.32420766,2.7501369,7.8973584,14.010634,4.1943769,4.587697,4.587697,-6.5283608,0,14.286694,11.271469,0,14,14,1,0,24.134949,10.950521,6.3208814,17.017612,7.6240525,4.3600311,4.1852636,10,3,1,0,3.8210001,-7.3962798,11.00071,1,1,21,1,4,6,1,0,0,2.3448613,-2.3448613,0.19325277,0.15208392,128.6765,43.944832,22.508045,0,0,0,47.307114,4.0280342,39.002987,9.4210396,0,5.6825762,29.637598,36.434803,0.67526472,0.33876786,0.19570775,0.32473528,0.66123217,0.12902755,247.58144,124.20704,71.754974,119.06209,242.43649,47.307114,0.47368422,0.89999998,0,0,0,0,1,0,0,0,1,0,366.64352,0,0,0,366.64352,0,10,1,4,0,0,0.58064514,4.1896,46.776344,17.603184,16.78553,50.935009,55.93,9.5073462,3.5006065,181.14894,0,54.655495,11.01195,64.317398,10.999887,103.49699,22.193031,9.7370949,176.43184,10.517568,39.148643,142.17999,0.36875206,6.0874629,3.984658,9.5678911,366.64352,464.20605,27.133842,0,0,24.524654,228.73935,86.245674,51.658497,440.79898,3266,45,164
S(=O)(=O)(/N=C\1/C=C2N(C)NC=C2C=C/1)CCCCF,JSF-3242,12713,40.149689,1,0,0,1,3,0,0,0,35,1,4,19,12,65.750465,1.8785849,0,0,12,0,1,16,0,3,2,0,1,1.7952085,-2.5432694,-0.44436044,0.50222331,2.646373,-2.5837264,-0.40200034,0.56501126,2.627816,-2.3353615,-0.25939974,0.69636738,2.8881702,27.810312,5,0.25,0,36,4,20,6,5,0.25,32,0,13.880469,11.451462,7.6378284,8.3889055,9.0159683,7.6144276,3.5267091,4.3745747,0,0,0.90332806,11,0,-0.85641724,-0.38735926,0.003582948,2.4483092,-1.1455898,-0.34569353,0.12128966,2.4749324,-0.5222289,-0.16491933,0.15607695,2.7429676,5.7750878,13.01124,8.8309431,1.3242612,0.86360568,-2.4247389,1.4756669,4.7903533,7.2940545,0.000408175,14,10.388976,1.0035999,14.06193,15.39,6.6352043,4.2314048,13.052758,5.5726571,3.5267086,3.8283443,5,1,1,0,0.83899999,-1.98225,7.2040286,0,1,11,1,2,4,0,0,0,1.1815087,-1.1815087,0.36329341,0.19912864,56.333576,37.104668,49.707954,22.6208,0,0,17.784555,15.808495,0,9.4210396,8.0752068,43.925159,0,0,0.76336616,0.29614797,0.16843666,0.23663384,0.703852,0.068197168,199.07173,77.229897,43.925159,61.709717,183.55156,17.784555,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,260.78146,0,0,0,260.78146,0,6,1,2,0,0,0.36842105,1.2945,17.888229,53.930229,6.6407428,42.037415,0,54.019287,0,70.143913,37.736813,14.960114,7.2635498,48.171688,33.141682,17.888229,5.9423227,0,107.88072,44.794159,39.53793,61.77,0.5023343,5.321928,3.2424653,8.1719208,260.78146,298.02573,40.091728,0,0,9.4210396,194.46352,16.805161,49.512768,285.34299,766,25,96
S(=O)(=O)(/N=C\1/C=C2N(C)NC=C2C=C/1)CCCC(F)(F)F,JSF-3243,4764,39.930103,0,0,1,1,3,0,0,0,35,1,4,21,14,71.692612,2.0483603,0,0,12,0,3,14,0,3,2,0,1,1.7774785,-2.5136468,-0.44436008,0.50222337,2.6817956,-2.5793877,-0.40200034,0.59941298,2.6376314,-2.3354144,-0.25939974,0.69636738,2.8881326,28.029898,4,0.18181819,0,36,4,22,6,5,0.22727273,32,0,15.673362,12.000283,7.4307213,8.181798,9.6624155,7.7676663,3.3802624,4.228128,0,0,0.99032623,11,0,-0.85641694,-0.38585067,0.003587051,2.4580126,-1.1455898,-0.34365124,0.23404014,2.481498,-0.52238244,-0.16491936,0.15607695,2.7429872,6.2296305,13.324416,9.1436911,1.7452213,1.282636,-2.8294618,1.4745977,4.7903986,7.3743906,0.000407721,14,10.38946,1.0035963,14.055023,17.355371,6.6299357,5.2897959,14.695031,5.5640664,4.4092183,3.8935301,5,1,1,0,1.48676,-2.74155,7.2225204,0,1,11,1,2,3,0,0,0,1.457292,-1.457292,0.29468244,0.16144481,40.525082,37.104668,65.516449,0,0,0,26.830059,15.808495,0,9.4210396,43.801113,32.016521,0,0,0.78287274,0.37283555,0.11813194,0.21712729,0.62716442,0.09899535,212.17685,101.04717,32.016521,58.846581,169.97626,26.830059,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,271.02344,0,0,0,271.02344,0,6,1,2,0,0,0.33333334,1.8873,17.888229,61.689743,6.6407428,17.233564,0,54.019287,0,70.143913,37.736813,44.880341,7.2715502,48.171688,63.061909,25.647745,5.9423227,0,107.88072,19.990313,39.53793,61.77,0.46827638,5.4594316,3.3449554,8.4609871,271.02344,310.21191,40.091728,0,0,9.4210396,204.70549,16.805161,49.512768,321.323,1026,27,110
O=[N+]([O-])c1oc(C(=O)NNC(=O)c2n(-c3ccccc3)c3c(c2)cccc3)cc1,JSF-3247,20,52.945103,0,0,2,3,2,0,20,0,43,2,4,29,17,73.97821,1.7204236,0,0,20,0,0,14,0,4,5,0,0,1.3421087,-2.2817638,-0.64500123,0.7011565,2.3370118,-2.642046,-0.53807992,0.80591482,2.3927889,-1.9529178,-0.46830654,0.85431087,2.6325221,22.372898,5,0.15625,21,46,3,32,0,7,0.21875,22,0,20.380104,14.863872,10.928204,13.104083,14.041714,8.5521402,5.7260675,8.2659864,0,0,0.86059934,14,0,-0.85023355,-0.48355469,0.081505015,2.53916,-1.2871044,-0.3386991,0.16445385,2.6280761,-0.49473563,-0.21701302,0.23558687,2.8453646,6.7851567,11.224526,4.1921167,4.7067518,4.7067518,-6.2719989,0,13.906724,10.635728,0,14,14,1,0,22.203125,10.08,5.0868044,14.429872,6.4405069,3.2094619,3.2046788,9,2,1,0,3.7909999,-6.5971498,10.34954,1,1,21,1,4,5,1,0,0,2.0177562,-2.0177562,0.2245816,0.17673874,160.29349,29.207598,22.508045,0,0,0,47.307114,4.0280342,9.4210396,9.4210396,0,0,29.637598,33.931049,0.67932278,0.25000003,0.18385459,0.32067725,0.75,0.13682264,234.87924,86.438759,63.568645,110.87576,259.31625,47.307114,0.5,1,0,0,0,0,1,0,0,0,1,0,345.755,0,0,0,345.755,0,7,1,4,0,0,0.55172414,3.2065001,35.776459,19.502275,0,50.935009,55.93,9.5073462,0,219.19206,0,5.0199933,10.35698,64.317398,1.8990928,86.711464,8.2055683,12.493842,211.71822,10.517568,0,122.09,0.38828552,6,3.6178706,9.4197998,345.755,437.18716,27.133842,0,0,18.842079,216.03716,83.74192,45.975922,390.35498,2368,45,154
