smiles,score
Clc1ccc2nc(N3N=C(c4ccccc4)CC3c3cccc(Br)c3)nc(-c3ccccc3)c2c1,13.1
O=[N+]([O-])c1cccc(C2CC(c3ccccc3)=NN2c2nc(-c3ccccc3)c3cc(Cl)ccc3n2)c1,12.7
Cc1ccc(C23CC4CC(CC(C(=O)N=C5N=C6C=CC=CN6Cc6ccccc65)(C4)C2)C3)cc1,12.7
O=C(C1=C2SC=C(c3ccccc3)N2CCCC1)c1cc(-c2ccccc2Cl)nc2ccccc12,12.5
O=C(NN=C1CC(c2ccccc2)Oc2ccccc21)c1cc(-c2ccc(F)cc2)nc2ccccc12,12.3
Fc1cccc(Cl)c1C1CC(c2cccs2)=NN1c1nc(-c2ccc(Cl)cc2)c2ccccc2n1,12.3
O=C1c2ccccc2-c2nn(C(=O)c3cccc(S(=O)(=O)Nc4ccccc4F)c3)c3cccc1c23,12.2
Clc1ccc2nc(N3N=C(c4ccccc4)CC3c3cccs3)nc(-c3ccccc3)c2c1,12.2
c1ccc(C(c2ccccc2)N2CCN(c3nc4ccccc4c4nc(-c5cccnc5)nn34)CC2)cc1,12.1
O=C(Nc1ccccc1Cc1ccccc1)N1CCc2[nH]c3ccccc3c2C1,12.1
O=C(C=Cc1cn(-c2ccccc2)nc1-c1ccc(F)cc1)N1CCCc2ccccc21,12.1
O=C(c1cc(-c2ccc(F)cc2)nc2ccccc12)N1CCN(Cc2cc(=O)n3ccccc3n2)CC1,12.1
Cc1ccc(-c2cc(C(=O)N3CCC(C(=O)Nc4ccc5c(c4)OCO5)CC3)c3ccccc3n2)cc1,12.1
Cc1ccc(N2C(=O)C(=CNc3nc4c(s3)COc3ccccc3-4)c3ccccc3C2=O)cc1,12.1
Fc1ccc(C2Oc3ccccc3C3CC(c4ccc(-c5ccccc5)cc4)=NN32)cc1,12.0
O=C(OCc1cc(=O)oc2ccc3ccccc3c12)C12CC3CC(C1)CC(c1ccccc1)(C3)C2,12.0
O=C(C=Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1)Nc1nc(-c2ccc3c(c2)OCCO3)cs1,12.0
Clc1ccc(-c2nc(N3N=C(c4cccc(Cl)c4)CC3c3cccs3)nc3ccccc23)cc1,12.0
Clc1ccccc1-c1cc(-c2nc3c4c5c(sc4ncn3n2)CCCCC5)c2ccccc2n1,12.0
CC1(c2cccc3ccccc23)NC(=O)N(CC(=O)N2c3ccccc3OCC2c2ccccc2)C1=O,12.0
Cc1cccc2c1nc(SCC(=O)N1N=C(c3ccccc3)CC1c1ccccc1)n1nc(-c3ccccc3)c(=O)nc21,11.9
Cc1ccc(N2C(=O)C3N=NN(CC(=O)N4N=C(c5ccccc5)CC4c4ccccc4)C3C2=O)cc1,11.9
O=C(c1cc(-c2ccc(F)cc2)nc2ccccc12)N1CCN(Cc2nc3ccccc3c(=O)[nH]2)CC1,11.9
O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1cc(-c2ccccc2)nn1-c1ccccc1,11.9
O=C(N=C1N=C2C=CC=CN2Cc2ccccc21)c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,11.9
O=C(CN1C(=O)NC2(CCCc3ccccc32)C1=O)NC(c1ccccc1)c1ccccc1,11.9
O=[N+]([O-])c1cccc(C2CC(c3ccco3)=NN2c2nc(-c3ccccc3)c3cc(Cl)ccc3n2)c1,11.9
Cc1ccc(-c2nc(N3N=C(c4cccc(Br)c4)CC3c3cccc(Br)c3)nc3ccccc23)cc1,11.9
Clc1ccc2nc(N3N=C(c4cccs4)CC3c3cccc(Br)c3)nc(-c3ccccc3)c2c1,11.9
O=C(NN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)c1ccc(-c2ccccc2F)o1,11.8
c1ccc(-c2cc(-c3nc4c5c6c(sc5ncn4n3)CCCC6)c3ccccc3n2)cc1,11.8
O=C(NN=Cc1c(-c2ccccc2)[nH]c2ccccc12)c1nn(Cc2ccccc2)c(=O)c2ccccc12,11.8
O=C(NN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)c1cccc(N2CCCC2=O)c1,11.8
O=C(c1ccccc1)c1ccc(Cl)cc1Nc1cc(-c2ccccc2)c2ccc(Cl)cc2n1,11.8
O=C(c1ccccc1)c1ccc(Cl)cc1Nc1cc(-c2ccccc2)c2cc(Cl)ccc2n1,11.8
O=C(c1cccc(Nc2nc(-c3ccccc3)c3cc(Br)ccc3n2)c1)N1CCN(c2cccc(Cl)c2)CC1,11.8
O=C(c1cc(-c2ccccn2)nc2ccccc12)N1CCC(c2c[nH]c3ccccc23)CC1,11.8
O=C(Nc1ccccc1Cc1ccccc1)C1CCN(c2ncnc3sc4c(c23)CCCC4)CC1,11.8
O=C1C(=CNN2C(=O)c3ccccc3C2=O)c2ccccc2C(=O)N1Cc1ccccc1,11.8
Cc1ccc(C23CC4CC(CC(C(=O)Oc5ccc6oc7c(c6c5)CCCC7)(C4)C2)C3)cc1,11.8
Clc1ccc2c(-c3ccccc3)nc(N3N=C(c4ccco4)CC3c3cccc(Cl)c3Cl)nc2c1,11.8
O=c1c2ccc3c(=O)n4c5cccc6cccc(nc4c4ccc(c2c34)c2nc3ccccc3n12)c65,11.7
O=S(=O)(c1ccc2c(c1)CCCC2)N1CCN(c2nc(-c3ccccc3)nc3ccccc23)CC1,11.7
O=C(c1ccc2noc(-c3ccccc3)c2c1)N1CCN(Cc2ccc3c(c2)CCO3)CC1,11.7
O=C(CSc1nc(-c2ccccc2)c2ccccc2n1)n1c2ccccc2c2ccccc21,11.7
O=C(c1ccccc1)C1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3ccccc23)CC1,11.7
O=C(CNC1=NS(=O)(=O)c2ccccc21)NCc1cn(-c2ccccc2)nc1-c1ccc(F)cc1,11.7
O=C(OCc1cc(=O)oc2ccc3ccccc3c12)c1cc(-c2ccccc2)nc2ccccc12,11.7
O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3ccccc23)CC1,11.7
O=C(Nc1ccccc1Cc1ccccc1)c1ccc2c(c1)CC(c1ccccc1)OC2=O,11.7
Fc1ccc(C2CC(c3cccs3)=NN2c2nc(-c3ccccc3)c3cc(Cl)ccc3n2)cc1,11.7
Cc1ccc(-c2cc(C(=O)NNC(=O)c3ccccc3Cc3ccccc3)c3ccccc3n2)cc1,11.7
Cc1ccc2nc(-c3ccccc3)cc(C(=O)N3CCC(C(=O)Nc4ccc5c(c4)OCO5)CC3)c2c1,11.7
O=c1nc2sc(=Cc3ccc(-c4ccc(F)cc4)o3)c(=O)n2nc1-c1ccccc1,11.7
O=C(c1ccccc1)N1CCN(C2c3cccc4cccc(c34)C2NS(=O)(=O)c2ccccc2)CC1,11.7
O=C1c2ccccc2C(=O)c2c(NC(=O)c3cc(-c4ccccn4)nc4ccccc34)cccc21,11.7
O=C1CCc2cc(-c3csc(NC(=O)c4ccc(-c5ccccc5F)o4)n3)ccc2N1,11.7
O=C(Cn1c(=O)c(=O)n(Cc2ccccc2)c2ccc(Cl)cc21)N1CCc2ccccc2C1,11.7
O=C(C1CN(C(=O)c2ccc(-c3ccccc3F)o2)c2ccccc2O1)N1CCCCC1,11.7
O=C(Cn1c2ccccc2c(=O)c2ccccc21)N1CCCN(Cc2ccc(F)cc2)CC1,11.7
O=C(Nc1cc(Cl)ccc1Oc1ccccc1)C1CCN(c2ccc3nnnn3n2)CC1,11.7
O=C(OC1c2ccccc2-c2ccccc21)c1nn(Cc2ccccc2)c(=O)c2ccccc12,11.6
Cc1ccc(-c2cc(C(=O)OCc3cn(-c4ccccc4)nc3-c3ccccc3)c3ccccc3n2)cc1,11.6
O=C(CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)NC(c1ccccc1)c1ccccc1,11.6
O=C(CSc1nc2ccccc2c2nc3ccccc3n12)Nc1ccccc1-c1ccccc1,11.6
O=C(CN1C(=O)NC2(CCCc3ccccc32)C1=O)NC(c1ccccc1)c1ccc(Cl)cc1,11.6
O=C1CC(C(=O)NCc2cn(-c3ccccc3)nc2-c2ccc(F)cc2)c2ccc(F)cc2N1,11.6
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)NC(c2ccccc2)c2ccc(Cl)cc2)C1=O,11.6
O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2ccc3noc(-c4ccccc4)c3c2)CC1,11.6
O=S(=O)(c1cccc(Cl)c1)N1CCN(c2nc(-c3ccccc3)nc3ccccc23)CC1,11.6
O=C(Nc1ccn(-c2ccccc2)n1)c1cc(-c2ccccc2)nc2ccccc12,11.6
CC1(c2ccc3ccccc3c2)NC(=O)N(CC(=O)Nc2nc(-c3ccc4c(c3)CCC4)cs2)C1=O,11.6
Clc1ccc2c(-c3ccccc3)cc(-c3c(Cl)nc4ccc(Br)cc4c3-c3ccccc3)nc2c1,11.6
O=C(Cn1c(=O)[nH]c(=O)c2ccccc21)NNC(=O)c1cc(-c2ccc(F)cc2)nc2ccccc12,11.6
O=C(c1ccc2ccccc2c1)N1CCN(C(=O)C2CCCN2C(=O)c2ccccc2)CC1,11.6
O=C(c1cccc(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)c1)N1CC=C(c2ccccc2)CC1,11.6
O=C(Nc1ccc(-c2nnc3n2CCCCC3)cc1)c1cc(-c2ccccc2)nc2ccccc12,11.6
