cluster,smiles,id
0,O=C(Nc1ccccc1Cc1ccccc1)C1CCN(c2ncnc3sc4c(c23)CCCC4)CC1,Z57030687
0,O=C1C(=CNn2cnc3sc4c(c3c2=O)CCCC4)CCCC1=Cc1ccccc1,Z56823499
0,O=C(OCc1nc2sc3c(c2c(=O)[nH]1)CCCC3)c1cc(-c2ccc(Cl)cc2)nc2ccccc12,Z53786665
0,O=c1[nH]c(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)nc2sc3c(c12)CCC3,Z105382408
0,O=c1[nH]c(-c2cc(-c3ccccc3)nc3ccccc23)nc2sc3c(c12)CCCC3,Z56760621
0,O=C(OCc1nc2sc3c(c2c(=O)[nH]1)CCCC3)c1cn(-c2ccccc2)nc1-c1ccccc1,Z53787257
0,O=C(c1ccc(F)cc1)c1ccc(Oc2ncnc3sc4c(c23)CCCC4)cc1,Z31253245
0,O=c1[nH]c(SCc2cc(F)cc3c2OC(c2ccccc2)OC3)nc2sc3c(c12)CCCC3,Z13684502
0,O=C(c1cc(F)ccc1F)N1CCN(Cc2nc3sc4c(c3c(=O)[nH]2)CCCC4)CC1,Z82238686
0,CC1CCc2c(sc3ncnc(Oc4ccc(C(=O)c5ccc(F)cc5)cc4)c23)C1,Z31253266
0,O=C(c1ccc(F)cc1)N1CCN(Cc2nc3sc4c(c3c(=O)[nH]2)CCCC4)CC1,Z26985512
0,O=C(c1ccc(C(F)(F)F)cc1)N1CCN(Cc2nc3sc4c(c3c(=O)[nH]2)CCCC4)CC1,Z26985536
0,O=C(c1ccccc1)c1ccc(Oc2nc(-c3ccc(Cl)cc3)nc3sc4c(c23)CCC4)cc1,Z31231044
0,O=C(CSc1ncnc2sc3c(c12)CCCC3)Nc1cc(-c2ccccc2)nn1-c1ccccc1,Z20226313
0,O=c1[nH]c(CN2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)nc2sc3c(c12)CCCC3,Z44543298
1,O=C(C=Cc1cn(-c2ccccc2)nc1-c1ccc(Cl)cc1)Nc1nc(-c2ccc3c(c2)OCCO3)cs1,Z28672833
1,O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1cc(-c2ccccc2)nn1-c1ccccc1,Z28636567
1,O=C1CCc2cc(-c3csc(NC(=O)c4ccc(-c5ccccc5F)o4)n3)ccc2N1,Z70961423
1,O=C(Nc1nc(-c2ccccc2Cl)cs1)C1Cc2ccccc2CN1C(=O)c1ccco1,Z27848894
1,O=C1CCc2cc(-c3csc(NC(=O)c4cc(C5CC5)nn4-c4ccccc4)n3)ccc2N1,Z70961310
1,O=C(Nc1nc(-c2cccc(C(F)(F)F)c2)cs1)C1CCN(C(=O)c2ccc(F)cc2)CC1,Z318114792
1,Cc1ccc2nc(-c3ccccc3)cc(C(=O)Nc3nc(-c4c[nH]c(C(N)=O)c4)cs3)c2c1,Z275848020
1,Cc1nn(-c2ccccc2)c2sc(C(=O)N=C3N=C4C=CC(Br)=CN4Cc4ccccc43)cc12,Z56688850
1,O=C(c1cc(-c2ccccc2)nn1-c1ccccc1)N1CC=C(c2c[nH]c3ncccc23)CC1,Z234513220
1,O=C(Nc1nc(-c2ccc3c(c2)CCCC3)cs1)[C@H](Cc1ccccc1)N1C(=O)c2ccccc2C1=O,Z56940928
1,O=C(Cn1c2ccccc2c(=O)c2ccccc21)Nc1nc(-c2ccc(F)cc2)cs1,Z223593680
1,Cc1nn(-c2ccccc2)c2sc(C(=O)N=C3N=C4C=CC(Cl)=CN4Cc4ccccc43)cc12,Z56689529
1,O=C(c1cc(-c2ccccc2)nn1-c1ccccc1)N1CCN(Cc2nc3ccsc3c(=O)[nH]2)CC1,Z217680302
1,O=C(Nc1nc(-c2cc(F)ccc2F)cs1)c1ccccc1Oc1ccccc1,Z29618044
1,O=C(c1ccccc1)C1CCN(C(=O)c2cc(-c3ccccc3)nn2-c2ccccc2)CC1,Z221509340
1,O=C(Nc1nc(-c2c[nH]c3ccccc23)cs1)C(Cc1ccccc1)N1C(=O)c2ccccc2C1=O,Z29651860
1,Cc1ccc2nc(-c3ccc(NC(=O)c4cc(-c5ccccc5)nn4-c4ccccc4)cc3)sc2c1,Z27663993
1,O=C(Cc1cccc(C(F)(F)F)c1)Nc1nc(-c2ccc3ccccc3c2)cs1,Z28636785
1,O=C(CN1CCC(C(=O)Nc2ccccc2O)CC1)Nc1cc(-c2ccccc2)nn1-c1ccccc1,Z126201374
1,O=C(Cc1ccc2c(c1)CCO2)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,Z225348896
1,O=C(Cn1cnc2c(oc3ccccc32)c1=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1,Z203722228
1,O=C(Nc1nc(-c2ccccc2)cs1)c1nn(-c2ccccc2)c(=O)c2ccccc12,Z27771859
1,O=C(c1cc(-c2ccccc2)nn1-c1ccccc1)N1CCN(Cc2nnc3n2CCCCC3)CC1,Z220348866
1,O=C(Cn1nc(-c2ccccc2)ccc1=O)Nc1nc2cc(Cl)ccc2n1CCCc1ccccc1,Z1067712688
1,O=C(Nc1ccc(-c2ccccc2)cc1Cl)c1ccc(=O)n(-c2ccc(F)cc2)n1,Z371206488
1,O=C1CCc2cc(-c3csc(-c4cccc(NC(=O)C5CC5)c4)n3)ccc2N1,Z118604738
1,O=C(CSc1ccc2c3c(cccc13)CC2)N(c1ccccc1)c1nc(-c2ccc(F)cc2)cs1,Z28753642
1,O=C(COC(=O)c1cc(-c2ccccc2)nn1-c1ccccc1)NC(c1ccccc1)c1ccccc1,Z15852380
1,O=C(Nc1cccc(-c2nc(-c3cc4c5c(c3)CC(=O)N5CCC4)cs2)c1)C1CC1,Z118604726
1,O=C(Nc1nc(-c2ccc(Cl)cc2)cs1)c1nn(-c2ccccc2)c(=O)c2ccccc12,Z29592356
1,O=C(COC(=O)c1cc(=O)[nH]c2ccccc12)Nc1cc(-c2ccccc2)nn1-c1ccccc1,Z166668440
1,O=c1oc2ccccc2cc1-c1nn(-c2ccccc2)cc1C=NNc1nc(-c2ccccc2)cs1,Z51691794
1,O=C1Cc2cc(-c3csc(NC(=O)c4cccc(Oc5ccccc5)c4)n3)ccc2N1,Z70926307
1,O=C1CCc2cc(-c3csc(NC(=O)C(c4ccccc4)c4ccccc4)n3)ccc2N1,Z70959245
1,N#Cc1ccc(CN2CCN(C(=O)c3cc(-c4ccccc4)nn3-c3ccccc3)CC2)cc1,Z28887309
1,O=C(CCc1c[nH]c2ccccc12)Nc1nc(-c2ccc3ccccc3c2)cs1,Z28636391
2,Cc1ccc(-c2cc(C(=O)N3CCC(C(=O)Nc4ccc5c(c4)OCO5)CC3)c3ccccc3n2)cc1,Z99494139
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2cc(-c3ccc(F)cc3)nc3ccccc23)CC1,Z99494149
2,Cc1ccc2nc(-c3ccccc3)cc(C(=O)N3CCC(C(=O)Nc4ccc5c(c4)OCO5)CC3)c2c1,Z99494458
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2ccc3noc(-c4ccccc4)c3c2)CC1,Z102605336
2,O=C(c1ccc2c(c1)OCCO2)C1CCN(C(=O)Cn2c3ccccc3c(=O)c3ccccc32)CC1,Z240416632
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2cc(-c3ccco3)nc3ccccc23)CC1,Z99494141
2,O=C(c1ccc2c(c1)OCCO2)C1CCN(C(=O)c2ccc(-c3ccc(F)cc3)o2)CC1,Z230379226
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2cc(-c3cccnc3)nc3ccccc23)CC1,Z102603950
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)CC1,Z99494185
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2ccc(-c3ccc(F)cc3)o2)CC1,Z117529304
2,O=C(c1cc(F)ccc1F)C1CCN(C(=O)c2ccc(-c3ccccc3)[nH]c2=O)CC1,Z653581792
2,Cc1ccc(-c2cc(C(=O)N3CCC(C(=O)Nc4ccc5c(c4)OCO5)CC3)c3ccccc3n2)o1,Z99494285
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)C2CCN(C(=O)c3ccc(F)cc3)CC2)CC1,Z99494456
2,O=C(Nc1cccc(-c2ccc(=O)[nH]n2)c1)C1CCN(C(=O)Nc2ccccc2)CC1,Z952432854
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2ccccc2-c2ncc(-c3ccccc3)o2)CC1,Z146227868
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2cn(-c3ccccc3)nc2-c2cccnc2)CC1,Z99494184
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)Cc2ccc3c(c2)CCC3)CC1,Z102604452
2,O=C(c1ccc2c(c1)OCCO2)C1CCN(C(=O)c2ccc(F)cc2F)CC1,Z230375494
2,O=C(OC(C(=O)Nc1ccccc1)c1ccccc1)C1CCN(C(=O)c2ccc(F)cc2F)CC1,Z193918230
2,O=C(NCc1ccc(NC(=O)C2CC2)cc1)C1CCN(C(=O)c2cccc3ccccc23)CC1,Z200083624
2,O=C(Nc1ccc(O)cc1)C1CCN(C(=O)c2cccc(Oc3cccc(C(F)(F)F)c3)c2)CC1,Z979305278
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2nn(-c3ccccc3)c(=O)c3ccccc23)CC1,Z99494278
2,O=C(c1ccc2c(c1)OCCO2)C1CCN(C(=O)c2ccccc2-c2ccccc2)CC1,Z230366956
2,O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)C1CCN(C(=O)c2ccc(F)cc2)CC1,Z30413683
2,Cc1ccc(Oc2ccccc2NC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)cc1,Z82228211
2,Cc1cc(=O)c(C(=O)N2CCC(C(=O)Nc3ccc4c(c3)OCO4)CC2)nn1-c1ccccc1,Z117529466
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(C(=O)c2c[nH]c3ccccc23)c2ccccc2)CC1,Z132737130
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(C(=O)Nc2ccc(F)cc2)c2ccccc2)CC1,Z106740870
2,CC1Oc2ccc(NC(=O)C3CCN(C(=O)c4ccc(C(F)(F)F)cc4)CC3)cc2NC1=O,Z225572450
2,O=C(NC(C(=O)N1CCC(C(=O)Nc2ccc3c(c2)OCO3)CC1)c1ccccc1)c1ccccc1,Z195131346
2,O=C(Nc1ccc2c(c1)OCO2)C1CCN(C(=O)c2oc3ccccc3c2COc2ccccc2)CC1,Z99494452
2,O=C(NCc1ccccc1)C1CCN(C(=O)c2cc(F)ccc2-c2ccccc2)CC1,Z450487486
3,c1ccc(C(c2ccccc2)N2CCN(c3nc4ccccc4c4nc(-c5cccnc5)nn34)CC2)cc1,Z1157836627
3,O=C(c1ccccc1)c1ccc(Cl)cc1Nc1cc(-c2ccccc2)c2ccc(Cl)cc2n1,Z1386458621
3,O=C(c1ccccc1)c1ccc(Cl)cc1Nc1cc(-c2ccccc2)c2cc(Cl)ccc2n1,Z2196034878
3,O=C(CSc1nc(-c2ccccc2)c2ccccc2n1)n1c2ccccc2c2ccccc21,Z56815649
3,O=c1nc2sc(=Cc3ccc(-c4ccc(F)cc4)o3)c(=O)n2nc1-c1ccccc1,Z57391686
3,Clc1ccc2c(-c3ccccc3)cc(-c3c(Cl)nc4ccc(Br)cc4c3-c3ccccc3)nc2c1,Z2039275273
3,Cc1ccc(-c2cc(-c3c(O)nc4ccccc4c3-c3ccccc3)nc3ccccc23)cc1,Z1702969146
3,O=c1cc(CSc2nc3ccccc3c(=O)n2-c2ccc(Cl)cc2)c2c(ccc3ccccc32)o1,Z19307921
3,c1ccc(CC2CCN(c3nc4ccccc4c4nc(-c5cccnc5)nn34)CC2)cc1,Z1172116132
3,c1ccc(-c2noc3ncc(-c4nnc(-c5ccc6c(c5)OCCO6)o4)cc23)cc1,Z686015828
3,Clc1ccc(-c2nc(NN=Cc3ccc4ccccc4n3)nc3ccccc23)cc1,Z1187818773
3,O=C(Nc1ccccc1)c1ccccc1Nc1nc(-c2ccccc2)c2cc(Br)ccc2n1,Z2196034871
3,Clc1ccc(-c2nc(NN=Cc3cnc4ccccc4n3)nc3ccccc23)cc1,Z2379111101
3,O=C1CC(c2ccccc2)=NN1c1nc(-c2ccccc2)cc(-c2ccccc2)n1,Z1037335814
3,O=C(c1ccccc1)c1ccc(Oc2nnc(-c3ccc(F)cc3)c3ccccc23)cc1,Z31231079
3,c1ccc(-c2ccc(Oc3nc(-c4ccccc4)cc(-c4ccccc4)n3)cc2)cc1,Z1037335802
3,O=C1OC(c2ccccc2)=NC1=C1C=C(c2ccccc2)OC(c2ccccc2)=C1,Z56772622
3,O=C(Oc1ccc2c(=O)c(-c3cnn(-c4ccccc4)c3)coc2c1)c1ccc(-c2ccccc2)cc1,Z56718956
3,Cc1ccc(-c2nnc(Oc3ccc(Cc4ccccc4)cc3)c3ccccc23)cc1,Z56848039
3,Brc1ccccc1-c1nnc(-c2cc(-c3ccccc3)nc3ccccc23)o1,Z50149908
3,Cc1ccc(Cl)cc1N1CCN(c2nc3ccccc3c3nc(-c4cccnc4)nn23)CC1,Z1172116184
3,Cc1ccc(-c2nnc(-c3cc(-c4ccccc4)nc4ccccc34)o2)cc1,Z50150820
3,c1ccc2cc(Cc3nnc(C4(c5ccc6c(c5)OCO6)CCOCC4)o3)ccc2c1,Z1166113068
3,c1ccc(-c2ccc(-c3nnc(-c4cc(-c5cccs5)nc5ccccc45)o3)cc2)cc1,Z50152168
